"","Season","Name","Team","POS","Salary","Years","Total.Value","Avg.Annual"
"1",2010,"A.J. Burnett","NYY ","P","$16,500,000 ","1 (2010)","$16,500,000 ","$16,500,000 "
"2",2010,"A.J. Pierzynski","CWS ","C","$6,750,000 ","1 (2010)","$6,750,000 ","$6,750,000 "
"3",2010,"Aaron Cook","COL ","P","$9,625,000 ","1 (2010)","$9,625,000 ","$9,625,000 "
"4",2010,"Aaron Harang","CIN ","P","$12,500,000 ","1 (2010)","$12,500,000 ","$12,500,000 "
"5",2010,"Aaron Heilman","ARI ","P","$2,150,000 ","1 (2010)","$2,150,000 ","$2,150,000 "
"6",2010,"Aaron Hill","TOR ","2B","$4,000,000 ","1 (2010)","$4,000,000 ","$4,000,000 "
"7",2010,"Aaron Laffey","CLE ","P","$421,900 ","1 (2010)","$421,900 ","$421,900 "
"8",2010,"Aaron Miles","CIN ","2B","$2,700,000 ","1 (2010)","$2,700,000 ","$2,700,000 "
"9",2010,"Aaron Rowand","SF ","OF","$13,600,000 ","1 (2010)","$13,600,000 ","$13,600,000 "
"10",2010,"Adam Dunn","WSH ","1B","$12,000,000 ","1 (2010)","$12,000,000 ","$12,000,000 "
"11",2010,"Adam Everett","DET ","SS","$1,550,000 ","1 (2010)","$1,550,000 ","$1,550,000 "
"12",2010,"Adam Jones","BAL ","OF","$465,000 ","1 (2010)","$465,000 ","$465,000 "
"13",2010,"Adam Kennedy","WSH ","2B","$1,250,000 ","1 (2010)","$1,250,000 ","$1,250,000 "
"14",2010,"Adam LaRoche","ARI ","1B","$4,500,000 ","1 (2010)","$4,500,000 ","$4,500,000 "
"15",2010,"Adam Lind","TOR ","DH","$550,000 ","4 (2010-13)","$18,000,000 ","$4,500,000 "
"16",2010,"Adam Moore","SEA ","C","$401,000 ","1 (2010)","$401,000 ","$401,000 "
"17",2010,"Adam Rosales","OAK ","2B","$410,000 ","1 (2010)","$410,000 ","$410,000 "
"18",2010,"Adam Wainwright","STL ","P","$4,837,500 ","1 (2010)","$4,837,500 ","$4,837,500 "
"19",2010,"Adrian Beltre","BOS ","3B","$9,000,000 ","1 (2010)","$9,000,000 ","$9,000,000 "
"20",2010,"Adrian Gonzalez","SD ","1B","$4,875,000 ","1 (2010)","$4,875,000 ","$4,875,000 "
"21",2010,"Akinori Iwamura","PIT ","2B","$4,850,000 ","1 (2010)","$4,850,000 ","$4,850,000 "
"22",2010,"Albert Pujols","STL ","1B","$14,595,953 ","1 (2010)","$14,595,953 ","$14,595,953 "
"23",2010,"Alberto Arias","HOU ","P","$415,500 ","1 (2010)","$415,500 ","$415,500 "
"24",2010,"Alberto Callaspo","KC ","2B","$460,000 ","1 (2010)","$460,000 ","$460,000 "
"25",2010,"Alberto Gonzalez","WSH ","SS","$415,500 ","1 (2010)","$415,500 ","$415,500 "
"26",2010,"Alcides Escobar","MIL ","SS","$405,500 ","1 (2010)","$405,500 ","$405,500 "
"27",2010,"Alex Avila","DET ","C","$404,900 ","1 (2010)","$404,900 ","$404,900 "
"28",2010,"Alex Burnett","MIN ","P","$400,000 ","1 (2010)","$400,000 ","$400,000 "
"29",2010,"Alex Cora","NYM ","SS","$1,850,000 ","1 (2010)","$1,850,000 ","$1,850,000 "
"30",2010,"Alex Gonzalez","TOR ","SS","$2,750,000 ","1 (2010)","$2,750,000 ","$2,750,000 "
"31",2010,"Alex Gordon","KC ","OF","$1,150,000 ","1 (2010)","$1,150,000 ","$1,150,000 "
"32",2010,"Alex Rios","CWS ","OF","$10,200,000 ","7 (2008-14)","$69,835,000 ","$9,976,429 "
"33",2010,"Alexei Ramirez","CWS ","SS","$1,225,000 ","1 (2010)","$1,225,000 ","$1,225,000 "
"34",2010,"Alexi Casilla","MIN ","2B","$437,500 ","1 (2010)","$437,500 ","$437,500 "
"35",2010,"Alfonso Soriano","CHC ","OF","$19,000,000 ","8 (2007-14)","$136,000,000 ","$17,000,000 "
"36",2010,"Alfredo Aceves","NYY ","P","$435,650 ","1 (2010)","$435,650 ","$435,650 "
"37",2010,"Allen Craig","STL ","3B","$400,000 ","1 (2010)","$400,000 ","$400,000 "
"38",2010,"Andres Blanco","TEX ","SS","$510,000 ","1 (2010)","$510,000 ","$510,000 "
"39",2010,"Andres Torres","SF ","OF","$426,000 ","1 (2010)","$426,000 ","$426,000 "
"40",2010,"Andrew Bailey","OAK ","P","$435,000 ","1 (2010)","$435,000 ","$435,000 "
"41",2010,"Andrew McCutchen","PIT ","OF","$422,500 ","1 (2010)","$422,500 ","$422,500 "
"42",2010,"Andrew Miller","MIA ","P","$1,790,219 ","1 (2010)","$1,790,219 ","$1,790,219 "
"43",2010,"Andruw Jones","CWS ","DH","$500,000 ","1 (2010)","$500,000 ","$500,000 "
"44",2010,"Andy LaRoche","PIT ","3B","$451,000 ","1 (2010)","$451,000 ","$451,000 "
"45",2010,"Andy Marte","CLE ","1B","$413,400 ","1 (2010)","$413,400 ","$413,400 "
"46",2010,"Andy Pettitte","NYY ","P","$11,750,000 ","1 (2010)","$11,750,000 ","$11,750,000 "
"47",2010,"Andy Sonnanstine","TB ","P","$416,900 ","1 (2010)","$416,900 ","$416,900 "
"48",2010,"Angel Guzman","CHC ","P","$825,000 ","1 (2010)","$825,000 ","$825,000 "
"49",2010,"Angel Pagan","NYM ","OF","$1,500,000 ","1 (2010)","$1,500,000 ","$1,500,000 "
"50",2010,"Anibal Sanchez","MIA ","P","$1,250,000 ","1 (2010)","$1,250,000 ","$1,250,000 "
"51",2010,"Anthony Ortega","LAA ","P","$400,000 ","1 (2010)","$400,000 ","$400,000 "
"52",2010,"Anthony Reyes","CLE ","P","$425,000 ","1 (2010)","$425,000 ","$425,000 "
"53",2010,"Antonio Bastardo","PHI ","P","$405,000 ","1 (2010)","$405,000 ","$405,000 "
"54",2010,"Aramis Ramirez","CHC ","3B","$16,750,000 ","1 (2010)","$16,750,000 ","$16,750,000 "
"55",2010,"Arthur Rhodes","CIN ","P","$2,000,000 ","1 (2010)","$2,000,000 ","$2,000,000 "
"56",2010,"Aubrey Huff","SF ","1B","$3,000,000 ","1 (2010)","$3,000,000 ","$3,000,000 "
"57",2010,"Augie Ojeda","ARI ","SS","$825,000 ","1 (2010)","$825,000 ","$825,000 "
"58",2010,"Austin Jackson","DET ","OF","$400,000 ","1 (2010)","$400,000 ","$400,000 "
"59",2010,"Austin Kearns","CLE ","OF","$750,000 ","1 (2010)","$750,000 ","$750,000 "
"60",2010,"Barry Zito","SF ","P","$18,500,000 ","7 (2007-13)","$126,000,000 ","$18,000,000 "
"61",2010,"Ben Francisco","PHI ","OF","$470,000 ","1 (2010)","$470,000 ","$470,000 "
"62",2010,"Ben Sheets","OAK ","P","$10,000,000 ","1 (2010)","$10,000,000 ","$10,000,000 "
"63",2010,"Ben Zobrist","TB ","OF","$438,100 ","4 (2010-13)","$18,000,000 ","$4,500,000 "
"64",2010,"Bengie Molina","SF ","C","$4,500,000 ","1 (2010)","$4,500,000 ","$4,500,000 "
"65",2010,"Bill Hall","BOS ","3B","$8,525,000 ","1 (2010)","$8,525,000 ","$8,525,000 "
"66",2010,"Billy Butler","KC ","1B","$470,000 ","1 (2010)","$470,000 ","$470,000 "
"67",2010,"Billy Wagner","ATL ","P","$6,750,000 ","1 (2010)","$6,750,000 ","$6,750,000 "
"68",2010,"Blaine Boyer","ARI ","P","$725,000 ","1 (2010)","$725,000 ","$725,000 "
"69",2010,"Blake DeWitt","LAD ","3B","$410,000 ","1 (2010)","$410,000 ","$410,000 "
"70",2010,"Blake Hawksworth","STL ","P","$402,000 ","1 (2010)","$402,000 ","$402,000 "
"71",2010,"Bob Howry","ARI ","P","$2,000,000 ","1 (2010)","$2,000,000 ","$2,000,000 "
"72",2010,"Bobby Abreu","LAA ","OF","$9,000,000 ","1 (2010)","$9,000,000 ","$9,000,000 "
"73",2010,"Bobby Crosby","PIT ","SS","$1,000,000 ","1 (2010)","$1,000,000 ","$1,000,000 "
"74",2010,"Bobby Jenks","CWS ","P","$7,500,000 ","1 (2010)","$7,500,000 ","$7,500,000 "
"75",2010,"Bobby Seay","DET ","P","$2,475,000 ","1 (2010)","$2,475,000 ","$2,475,000 "
"76",2010,"Bobby Wilson","LAA ","C","$402,000 ","1 (2010)","$402,000 ","$402,000 "
"77",2010,"Boof Bonser","BOS ","P","$650,000 ","1 (2010)","$650,000 ","$650,000 "
"78",2010,"Brad Ausmus","LAD ","C","$850,000 ","1 (2010)","$850,000 ","$850,000 "
